"stream","reach","length"
"Brooks Creek","BRK_001",178.9
"Brooks Creek","BRK_002",170.1
"Brooks Creek","BRK_003",185.8
"Brooks Creek","BRK_004",199.7
"Brooks Creek","BRK_005",190.3
"Brooks Creek","BRK_006",190
"Brooks Creek","BRK_007",172.3
"Brooks Creek","BRK_008",196.4
"Brooks Creek","BRK_009",179
"Brooks Creek","BRK_010",183.4
"Brooks Creek","BRK_011",182.4
"Brooks Creek","BRK_012",196.7
"Brooks Creek","BRK_013",188.4
"Brooks Creek","BRK_014",181.5
"Brooks Creek","BRK_015",178.9
"Brooks Creek","BRK_016",196.8
"Brooks Creek","BRK_017",181.2
"Buncombe Hollow Creek","BNH_0001",116.2
"Buncombe Hollow Creek","BNH_0002",121.4
"Buncombe Hollow Creek","BNH_0003",124.2
"Buncombe Hollow Creek","BNH_0004",180
"Buncombe Hollow Creek","BNH_0005",111.7
"Buncombe Hollow Creek","BNH_0006",130.3
"Buncombe Hollow Creek","BNH_0007",127.5
"Buncombe Hollow Creek","BNH_0008",143.4
"Buncombe Hollow Creek","BNH_0009",75.7
"Bypass Channel","BPC_0001",591.1
"Bypass Channel","BPC_0002",640.9
"Bypass Channel","BPC_0003",582.2
"Bypass Channel","BPC_0004",659
"Bypass Channel","BPC_0005",534.9
"Bypass Channel","BPC_0006",621.9
"Bypass Channel","BPC_0007",636
"Bypass Channel","BPC_0008",564.2
"Bypass Channel","BPC_0009",547.1
"Bypass Channel","BPC_0010",537.2
"Bypass Channel","BPC_0011",589.6
"Cape Horn Creek","CHC_0001",329.5
"Cape Horn Creek","CHC_0002",192.7
"Cougar Creek","CGR_0001",454.4
"Cougar Creek","CGR_0002",464.5
"Cougar Creek","CGR_0003",477.6
"Cougar Creek","CGR_0004",544.8
"Cougar Creek","CGR_0005",500.1
"Cougar Creek","CGR_0006",473.1
"Cougar Creek","CGR_0007",481.7
"Cougar Creek","CGR_0008",506.4
"Dog Creek","DOG_0001",315
"Indian George Creek","ING_0001",224.8
"Indian George Creek","ING_0002",213.6
"Indian George Creek","ING_0003",233.5
"Indian George Creek","ING_0004",252
"Indian George Creek","ING_0005",228.5
"Indian George Creek","ING_0006",238
"Indian George Creek","ING_0007",109.5
"Jim Creek","JMC_0001",283.3
"Jim Creek","JMC_0002",218.95
"Lower Speelyai","LSPL_0001",250
"North Siouxon Creek","NSX_0001",546.5
"North Siouxon Creek","NSX_0002",125.2
"Ole Creek","OLE_0001",310.8
"Ole Creek","OLE_0002",263.6
"Ole Creek","OLE_0003",314.1
"Ole Creek","OLE_0004",265.6
"Ole Creek","OLE_0005",257.6
"Ole Creek","OLE_0006",254.5
"Panamaker Creek","PMR_0001",317.2
"Panamaker Creek","PMR_0002",74
"Siouxon Creek","SXN_0001",884.3
"Siouxon Creek","SXN_0002",820.1
"Siouxon Creek","SXN_0003",829.8
"Siouxon Creek","SXN_0004",880.4
"Siouxon Creek","SXN_0005",829.3
"Siouxon Creek","SXN_0006",853
"Siouxon Creek","SXN_0007",880.7
"Siouxon Creek","SXN_0008",124.7
"Speelyai Creek","SPL_0001",337.7
"Speelyai Creek","SPL_0002",292.9
"Speelyai Creek","SPL_0003",281.7
"Speelyai Creek","SPL_0004",309.2
"Speelyai Creek","SPL_0005",277.2
"Speelyai Creek","SPL_0006",257.8
"Speelyai Creek","SPL_0007",244.7
"Speelyai Creek","SPL_0008",241.4
"Speelyai Creek","SPL_0009",248.4
"Speelyai Creek","SPL_0010",250.9
"Speelyai Creek","SPL_0011",251.6
"Speelyai Creek","SPL_0012",245.4
"Speelyai Creek","SPL_0013",243.8
"Speelyai Creek","SPL_0014",251.8
"Speelyai Creek","SPL_0015",248
"Speelyai Creek","SPL_0016",265.9
"Speelyai Creek","SPL_0017",276.4
"Speelyai Creek","SPL_0018",253.7
"Speelyai Creek","SPL_0019",256.7
"Speelyai Creek","SPL_0020",252.4
"Speelyai Creek","SPL_0021",246.2
"Speelyai Creek","SPL_0022",245.5
"Speelyai Creek","SPL_0023",219.9
"West Fork Speelyai Creek","WFSPL_0001",313.1
"West Fork Speelyai Creek","WFSPL_0002",326
"West Fork Speelyai Creek","WFSPL_0003",312.7
"West Fork Speelyai Creek","WFSPL_0004",257.2
"West Fork Speelyai Creek","WFSPL_0005",111.5
"West Tributary Speelyai Creek","WTSPL_0001",264.4
"West Tributary Speelyai Creek","WTSPL_0002",263.5
"West Tributary Speelyai Creek","WTSPL_0003",254.7
"West Tributary Speelyai Creek","WTSPL_0004",258.2
"West Tributary Speelyai Creek","WTSPL_0005",69
